iter	Passed	Remaining
0	48	48626
1	49	24718
2	50	16751
3	51	12765
4	52	10378
5	52	8774
6	53	7633
7	54	6775
8	55	6105
9	56	5580
10	57	5144
11	58	4786
12	58	4479
13	59	4205
14	60	3971
15	61	3763
16	62	3588
17	62	3428
18	63	3281
19	64	3151
20	65	3031
21	65	2924
22	66	2826
23	67	2733
24	67	2651
25	68	2577
26	69	2506
27	70	2440
28	71	2377
29	71	2319
30	72	2263
31	73	2220
32	74	2173
33	74	2126
34	75	2080
35	76	2037
36	76	1996
37	77	1957
38	77	1920
39	78	1886
40	79	1852
41	79	1821
42	80	1791
43	81	1761
44	81	1730
45	82	1701
46	82	1673
47	83	1646
48	83	1620
49	84	1596
50	84	1572
51	84	1549
52	85	1527
53	85	1505
54	86	1486
55	86	1466
56	87	1446
57	88	1430
58	88	1413
59	89	1396
60	89	1380
61	90	1364
62	90	1348
63	91	1333
64	91	1318
65	92	1303
66	92	1289
67	92	1272
68	93	1259
69	93	1246
70	94	1233
71	94	1220
72	95	1208
73	95	1196
74	96	1185
75	96	1173
76	96	1162
77	97	1151
78	97	1140
79	98	1130
80	98	1121
81	99	1111
82	99	1102
83	100	1093
84	100	1082
85	101	1073
86	101	1063
87	101	1054
88	102	1046
89	102	1039
90	103	1031
91	103	1024
92	104	1016
93	104	1009
94	105	1002
95	105	995
96	106	988
97	106	981
98	107	974
99	107	968
100	108	961
101	108	952
102	108	946
103	109	940
104	109	934
105	110	929
106	110	923
107	111	917
108	111	911
109	112	906
110	112	900
111	112	894
112	113	889
113	113	884
114	114	878
115	114	872
116	114	867
117	115	863
118	115	857
119	116	852
120	116	848
121	117	843
122	117	837
123	118	833
124	118	829
125	118	825
126	119	821
127	119	815
128	120	811
129	120	807
130	121	803
131	121	799
132	122	795
133	122	791
134	122	787
135	123	783
136	123	780
137	124	775
138	124	771
139	125	768
140	125	764
141	125	761
142	126	757
143	126	754
144	127	751
145	127	748
146	128	744
147	128	741
148	129	738
149	129	734
150	130	731
151	130	728
152	131	725
153	131	723
154	132	720
155	132	717
156	133	714
157	133	711
158	134	708
159	134	705
160	134	703
161	135	700
162	135	697
163	136	694
164	136	692
165	137	689
166	137	687
167	138	684
168	138	682
169	139	679
170	139	677
171	140	674
172	140	672
173	141	669
174	141	667
175	142	665
176	142	662
177	143	660
178	143	658
179	143	655
180	144	652
181	144	649
182	144	647
183	145	645
184	145	642
185	146	640
186	146	638
187	147	636
188	148	635
189	148	633
190	149	631
191	149	629
192	150	627
193	150	625
194	150	622
195	151	620
196	151	618
197	152	616
198	152	614
199	153	612
200	153	610
201	154	608
202	154	606
203	155	604
204	155	603
205	155	601
206	156	599
207	156	597
208	157	595
209	157	593
210	158	592
211	158	590
212	159	588
213	159	586
214	160	584
215	160	582
216	161	581
217	161	579
218	161	577
219	162	575
220	162	574
221	163	572
222	163	570
223	164	568
224	164	567
225	165	565
226	165	563
227	166	562
228	166	560
229	166	558
230	167	557
231	167	555
232	168	554
233	168	552
234	169	551
235	169	549
236	170	548
237	170	546
238	171	545
239	171	543
240	172	542
241	172	540
242	173	539
243	173	537
244	173	536
245	174	534
246	174	533
247	175	531
248	175	529
249	176	528
250	176	527
251	177	525
252	177	524
253	177	522
254	178	521
255	178	519
256	179	518
257	179	517
258	180	515
259	180	514
260	181	512
261	181	511
262	182	510
263	182	508
264	182	507
265	183	506
266	183	504
267	184	503
268	184	502
269	185	501
270	185	499
271	186	498
272	186	497
273	187	496
274	187	494
275	188	493
276	188	492
277	189	491
278	189	489
279	189	488
280	190	487
281	190	485
282	191	484
283	191	483
284	192	482
285	192	480
286	193	479
287	193	478
288	194	477
289	194	476
290	194	475
291	195	473
292	195	472
293	196	471
294	196	470
295	197	469
296	197	468
297	198	467
298	198	465
299	199	464
300	200	465
301	201	464
302	201	463
303	202	463
304	202	462
305	203	461
306	204	460
307	204	459
308	207	464
309	208	462
310	208	461
311	209	460
312	209	459
313	209	458
314	210	457
315	210	456
316	211	455
317	211	454
318	212	453
319	212	452
320	213	451
321	213	450
322	214	449
323	214	448
324	215	446
325	215	445
326	216	444
327	216	443
328	217	442
329	217	441
330	218	440
331	218	439
332	219	438
333	219	437
334	220	436
335	220	435
336	221	434
337	221	433
338	222	432
339	222	431
340	222	430
341	223	429
342	223	428
343	224	427
344	224	426
345	225	426
346	225	425
347	226	424
348	226	423
349	227	422
350	227	421
351	228	420
352	228	419
353	229	418
354	229	417
355	230	416
356	230	415
357	231	414
358	231	413
359	232	412
360	232	411
361	233	410
362	233	409
363	233	408
364	234	407
365	234	406
366	235	406
367	235	405
368	236	404
369	236	403
370	237	402
371	237	401
372	238	400
373	238	399
374	239	398
375	239	397
376	240	397
377	240	396
378	241	395
379	241	394
380	242	393
381	242	392
382	243	391
383	243	390
384	244	390
385	245	389
386	246	389
387	247	389
388	247	389
389	248	389
390	249	389
391	250	389
392	251	388
393	252	388
394	253	388
395	254	388
396	255	388
397	256	388
398	257	387
399	258	387
400	259	387
401	260	387
402	261	387
403	262	387
404	263	386
405	264	386
406	265	386
407	266	386
408	267	386
409	268	385
410	271	388
411	271	387
412	272	386
413	272	385
414	273	385
415	273	384
416	274	383
417	274	382
418	275	381
419	275	380
420	276	379
421	276	378
422	277	377
423	277	377
424	278	376
425	278	375
426	278	374
427	279	373
428	280	372
429	280	371
430	281	371
431	281	370
432	282	369
433	282	368
434	283	367
435	283	366
436	283	365
437	284	364
438	284	364
439	285	363
440	285	362
441	286	361
442	286	360
443	287	359
444	287	358
445	288	358
446	288	357
447	289	356
448	289	355
449	290	354
450	290	353
451	291	353
452	291	352
453	292	351
454	292	350
455	293	349
456	293	348
457	294	347
458	294	347
459	295	346
460	295	345
461	295	344
462	296	343
463	296	343
464	297	342
465	297	341
466	298	340
467	298	339
468	299	338
469	299	338
470	300	337
471	300	336
472	301	335
473	301	334
474	302	334
475	302	333
476	303	332
477	303	331
478	304	330
479	304	330
480	305	329
481	305	328
482	306	327
483	306	326
484	307	326
485	307	325
486	308	324
487	308	323
488	308	322
489	309	322
490	309	321
491	310	320
492	310	319
493	311	318
494	311	318
495	312	317
496	312	316
497	313	315
498	313	315
499	314	314
500	314	313
501	315	312
502	315	311
503	316	311
504	316	310
505	317	309
506	317	308
507	318	308
508	318	307
509	319	306
510	319	305
511	320	305
512	320	304
513	321	303
514	321	302
515	322	302
516	322	301
517	323	300
518	323	299
519	323	299
520	324	298
521	324	297
522	325	296
523	325	296
524	326	295
525	326	294
526	327	293
527	327	293
528	328	292
529	328	291
530	329	290
531	329	290
532	330	289
533	330	288
534	331	287
535	331	287
536	332	286
537	332	285
538	333	284
539	333	284
540	333	283
541	334	282
542	334	281
543	335	281
544	335	280
545	336	279
546	336	278
547	337	278
548	337	277
549	338	276
550	338	275
551	339	275
552	339	274
553	340	273
554	340	273
555	341	272
556	341	271
557	342	270
558	342	270
559	342	269
560	343	268
561	343	267
562	344	267
563	344	266
564	345	265
565	345	265
566	346	264
567	346	263
568	347	262
569	347	262
570	348	261
571	348	261
572	349	260
573	349	259
574	350	258
575	350	258
576	351	257
577	351	256
578	352	255
579	352	255
580	352	254
581	353	253
582	353	253
583	354	252
584	354	251
585	355	250
586	355	250
587	356	249
588	356	248
589	357	248
590	357	247
591	357	246
592	358	246
593	358	245
594	359	244
595	359	243
596	360	243
597	360	242
598	361	241
599	361	241
600	362	240
601	362	239
602	362	238
603	363	238
604	363	237
605	364	236
606	364	236
607	365	235
608	366	234
609	366	234
610	366	233
611	367	232
612	367	232
613	368	231
614	368	230
615	369	230
616	369	229
617	370	228
618	370	228
619	371	227
620	371	226
621	372	226
622	372	225
623	373	224
624	373	224
625	374	223
626	374	222
627	374	222
628	375	221
629	375	220
630	376	220
631	376	219
632	377	218
633	377	217
634	378	217
635	378	216
636	378	215
637	379	215
638	379	214
639	380	213
640	380	213
641	381	212
642	381	211
643	382	211
644	382	210
645	382	209
646	383	209
647	383	208
648	384	207
649	384	207
650	385	206
651	386	206
652	386	205
653	387	204
654	387	204
655	388	203
656	388	202
657	388	202
658	389	201
659	389	200
660	390	200
661	390	199
662	391	198
663	391	198
664	392	197
665	392	196
666	393	196
667	393	195
668	394	194
669	394	194
